query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
AZU_DOWN,TRUE,8.3631094597769e-07,1827,137,42,0.306569343065693,0.0229885057471264,GO:0006355,GO:BP,regulation of DNA-templated transcription,15896,2024,GO:0006351|GO:0010468|GO:2001141
AZU_DOWN,TRUE,8.3631094597769e-07,1827,137,42,0.306569343065693,0.0229885057471264,GO:2001141,GO:BP,regulation of RNA biosynthetic process,15896,24417,GO:0010556|GO:0032774|GO:0051252
AZU_DOWN,TRUE,2.96170560609797e-06,1905,137,42,0.306569343065693,0.0220472440944882,GO:0051252,GO:BP,regulation of RNA metabolic process,15896,12701,GO:0016070|GO:0019219|GO:0060255
AZU_DOWN,TRUE,6.11899564488534e-06,1952,137,42,0.306569343065693,0.021516393442623,GO:0019219,GO:BP,regulation of nucleobase-containing compound metabolic process,15896,5274,GO:0006139|GO:0080090
AZU_DOWN,TRUE,1.23205330406485e-05,1999,137,42,0.306569343065693,0.0210105052526263,GO:0006351,GO:BP,DNA-templated transcription,15896,2020,GO:0010467|GO:0032774
AZU_DOWN,TRUE,2.8986003473987e-05,84,137,9,0.0656934306569343,0.107142857142857,GO:0009723,GO:BP,response to ethylene,15896,3461,GO:0009725
AZU_DOWN,TRUE,7.12103110196649e-05,67,137,8,0.0583941605839416,0.119402985074627,GO:0009873,GO:BP,ethylene-activated signaling pathway,15896,3579,GO:0000160|GO:0009755|GO:0071369
AZU_DOWN,TRUE,8.01238639141712e-05,68,137,8,0.0583941605839416,0.117647058823529,GO:0071369,GO:BP,cellular response to ethylene stimulus,15896,15485,GO:0009723|GO:0032870
AZU_DOWN,TRUE,0.000116146048498284,2245,137,43,0.313868613138686,0.0191536748329621,GO:0010468,GO:BP,regulation of gene expression,15896,3977,GO:0010467|GO:0010556
AZU_DOWN,TRUE,0.000122396725817947,1312,137,31,0.226277372262774,0.0236280487804878,GO:0042221,GO:BP,response to chemical,15896,9400,GO:0050896
AZU_DOWN,TRUE,0.000128521944393344,2253,137,43,0.313868613138686,0.0190856635596982,GO:0010556,GO:BP,regulation of macromolecule biosynthetic process,15896,4023,GO:0009059|GO:0009889|GO:0060255
AZU_DOWN,TRUE,0.000184622777411396,2282,137,43,0.313868613138686,0.0188431200701139,GO:0009889,GO:BP,regulation of biosynthetic process,15896,3588,GO:0009058|GO:0019222
AZU_DOWN,TRUE,0.000241807248788923,2304,137,43,0.313868613138686,0.0186631944444444,GO:0080090,GO:BP,regulation of primary metabolic process,15896,16617,GO:0019222|GO:0044238
AZU_DOWN,TRUE,0.000877113042492607,2501,137,44,0.321167883211679,0.0175929628148741,GO:0060255,GO:BP,regulation of macromolecule metabolic process,15896,13487,GO:0019222|GO:0043170
AZU_DOWN,TRUE,0.000899350016149271,2591,137,45,0.328467153284672,0.0173678116557314,GO:0019222,GO:BP,regulation of metabolic process,15896,5276,GO:0008152|GO:0050794
AZU_DOWN,TRUE,0.00427959247234737,114,137,8,0.0583941605839416,0.0701754385964912,GO:0000160,GO:BP,phosphorelay signal transduction system,15896,52,GO:0035556
AZU_DOWN,TRUE,0.0248428817421685,4099,137,57,0.416058394160584,0.0139058306904123,GO:0065007,GO:BP,biological regulation,15896,14784,GO:0008150
AZU_DOWN,TRUE,0.0388778536869911,2798,137,43,0.313868613138686,0.0153681200857756,GO:0032774,GO:BP,RNA biosynthetic process,15896,7314,GO:0016070|GO:0141187
AZU_DOWN,TRUE,1.04651499208049e-09,1030,167,36,0.215568862275449,0.0349514563106796,GO:0003700,GO:MF,DNA-binding transcription factor activity,18049,326,GO:0140110
AZU_DOWN,TRUE,2.1313394636551e-08,1145,167,36,0.215568862275449,0.0314410480349345,GO:0140110,GO:MF,transcription regulator activity,18049,9201,GO:0003674
AZU_DOWN,TRUE,0.00135022113271116,2072,167,40,0.239520958083832,0.0193050193050193,GO:0003677,GO:MF,DNA binding,18049,312,GO:0003676
AZU_DOWN,TRUE,0.0489174094494208,540,167,15,0.0898203592814371,0.0277777777777778,GO:0020037,GO:MF,heme binding,18049,3488,GO:0046906
AZU_DOWN,TRUE,0.0327415632023473,143,33,6,0.181818181818182,0.041958041958042,KEGG:00940,KEGG,Phenylpropanoid biosynthesis,3869,144,KEGG:00000
AZU_UP,TRUE,4.74424246839597e-05,296,144,15,0.104166666666667,0.0506756756756757,GO:0071555,GO:BP,cell wall organization,15896,15620,GO:0045229|GO:0071554
AZU_UP,TRUE,9.45152298925261e-05,67,144,8,0.0555555555555556,0.119402985074627,GO:0009664,GO:BP,plant-type cell wall organization,15896,3422,GO:0071555|GO:0071669
AZU_UP,TRUE,0.000141426797846814,322,144,15,0.104166666666667,0.046583850931677,GO:0045229,GO:BP,external encapsulating structure organization,15896,10571,GO:0016043
AZU_UP,TRUE,0.000150229485554687,370,144,16,0.111111111111111,0.0432432432432432,GO:0071554,GO:BP,cell wall organization or biogenesis,15896,15619,GO:0009987
AZU_UP,TRUE,0.000285367883014668,137,144,10,0.0694444444444445,0.072992700729927,GO:0042744,GO:BP,hydrogen peroxide catabolic process,15896,9683,GO:0009056|GO:0042743
AZU_UP,TRUE,0.000372632466179768,141,144,10,0.0694444444444445,0.0709219858156028,GO:0042743,GO:BP,hydrogen peroxide metabolic process,15896,9682,GO:0072593
AZU_UP,TRUE,0.000623784715704687,269,144,13,0.0902777777777778,0.0483271375464684,GO:0006979,GO:BP,response to oxidative stress,15896,2471,GO:0006950
AZU_UP,TRUE,0.00125483829230412,161,144,10,0.0694444444444445,0.062111801242236,GO:0072593,GO:BP,reactive oxygen species metabolic process,15896,16278,GO:0008152
AZU_UP,TRUE,0.00145733138752714,203,144,11,0.0763888888888889,0.0541871921182266,GO:0098869,GO:BP,cellular oxidant detoxification,15896,17680,GO:1990748
AZU_UP,TRUE,0.00330476424884572,221,144,11,0.0763888888888889,0.0497737556561086,GO:1990748,GO:BP,cellular detoxification,15896,23423,GO:0009987|GO:0097237|GO:0098754
AZU_UP,TRUE,0.00345038471277261,222,144,11,0.0763888888888889,0.0495495495495496,GO:0097237,GO:BP,cellular response to toxic substance,15896,17331,GO:0009636|GO:0070887
AZU_UP,TRUE,0.00609725376726123,152,144,9,0.0625,0.0592105263157895,GO:0071669,GO:BP,plant-type cell wall organization or biogenesis,15896,15701,GO:0071554
AZU_UP,TRUE,0.0145754896587321,130,144,8,0.0555555555555556,0.0615384615384615,GO:0044550,GO:BP,secondary metabolite biosynthetic process,15896,10328,GO:0009058|GO:0019748
AZU_UP,TRUE,0.0194032541295719,267,144,11,0.0763888888888889,0.0411985018726592,GO:0098754,GO:BP,detoxification,15896,17633,GO:0008150|GO:0009636
AZU_UP,TRUE,0.0236879334737266,225,144,10,0.0694444444444445,0.0444444444444444,GO:0019748,GO:BP,secondary metabolic process,15896,5628,GO:0008152
AZU_UP,TRUE,0.0254011590641603,275,144,11,0.0763888888888889,0.04,GO:0009636,GO:BP,response to toxic substance,15896,3397,GO:0042221
AZU_UP,TRUE,4.98548089597492e-06,128,158,11,0.069620253164557,0.0859375,GO:0140825,GO:MF,lactoperoxidase activity,18049,9487,GO:0004601
AZU_UP,TRUE,0.000146337860772775,178,158,11,0.069620253164557,0.0617977528089888,GO:0004601,GO:MF,peroxidase activity,18049,882,GO:0016209|GO:0016684
AZU_UP,TRUE,0.000154756100780448,179,158,11,0.069620253164557,0.0614525139664804,GO:0016684,GO:MF,"oxidoreductase activity, acting on peroxide as acceptor",18049,2814,GO:0016491
AZU_UP,TRUE,0.000510633118625448,202,158,11,0.069620253164557,0.0544554455445545,GO:0016209,GO:MF,antioxidant activity,18049,2651,GO:0003674
AZU_UP,TRUE,0.0192701545520234,408,158,13,0.0822784810126582,0.0318627450980392,GO:0004553,GO:MF,"hydrolase activity, hydrolyzing O-glycosyl compounds",18049,842,GO:0016798
AZU_UP,TRUE,0.0247963905613117,540,158,15,0.0949367088607595,0.0277777777777778,GO:0020037,GO:MF,heme binding,18049,3488,GO:0046906
AZU_UP,TRUE,0.0408699295300665,565,158,15,0.0949367088607595,0.0265486725663717,GO:0046906,GO:MF,tetrapyrrole binding,18049,5634,GO:0005488
AZU_UP,TRUE,0.00626331851453849,48,25,4,0.16,0.0833333333333333,KEGG:00999,KEGG,Biosynthesis of various plant secondary metabolites,3869,165,KEGG:00000
AZU_UP,TRUE,0.00653021430715726,143,25,6,0.24,0.041958041958042,KEGG:00940,KEGG,Phenylpropanoid biosynthesis,3869,144,KEGG:00000
AZU_UP,TRUE,0.0172973769589026,1795,25,20,0.8,0.011142061281337,KEGG:01100,KEGG,Metabolic pathways,3869,184,KEGG:00000
AZU_UP,TRUE,0.0238718564759898,1089,25,15,0.6,0.0137741046831956,KEGG:01110,KEGG,Biosynthesis of secondary metabolites,3869,185,KEGG:00000
BGI_DOWN,TRUE,8.08345320799594e-06,1312,129,32,0.248062015503876,0.024390243902439,GO:0042221,GO:BP,response to chemical,15896,9400,GO:0050896
BGI_DOWN,TRUE,9.59348379173763e-05,16,129,5,0.0387596899224806,0.3125,GO:0010167,GO:BP,response to nitrate,15896,3799,GO:1901698|GO:1901700
BGI_DOWN,TRUE,0.000371046616204907,194,129,11,0.0852713178294574,0.0567010309278351,GO:0015979,GO:BP,photosynthesis,15896,4817,GO:0008152
BGI_DOWN,TRUE,0.0014118792710299,12,129,4,0.0310077519379845,0.333333333333333,GO:0042128,GO:BP,nitrate assimilation,15896,9341,GO:0042126|GO:0071941
BGI_DOWN,TRUE,0.0014118792710299,12,129,4,0.0310077519379845,0.333333333333333,GO:0042126,GO:BP,nitrate metabolic process,15896,9339,GO:0043436|GO:2001057
BGI_DOWN,TRUE,0.0014118792710299,12,129,4,0.0310077519379845,0.333333333333333,GO:2001057,GO:BP,reactive nitrogen species metabolic process,15896,24360,GO:0008152
BGI_DOWN,TRUE,0.00213207330709298,3847,129,55,0.426356589147287,0.0142968546919678,GO:0050896,GO:BP,response to stimulus,15896,12476,GO:0008150
BGI_DOWN,TRUE,0.00382046813635266,15,129,4,0.0310077519379845,0.266666666666667,GO:0009768,GO:BP,"photosynthesis, light harvesting in photosystem I",15896,3504,GO:0009765
BGI_DOWN,TRUE,0.00506197923583109,16,129,4,0.0310077519379845,0.25,GO:0071941,GO:BP,nitrogen cycle metabolic process,15896,15848,GO:0008152
BGI_DOWN,TRUE,0.00726974281989657,36,129,5,0.0387596899224806,0.138888888888889,GO:1901698,GO:BP,response to nitrogen compound,15896,20235,GO:0042221
BGI_DOWN,TRUE,0.0235672839215989,23,129,4,0.0310077519379845,0.173913043478261,GO:0009765,GO:BP,"photosynthesis, light harvesting",15896,3502,GO:0006091|GO:0019684
BGI_DOWN,TRUE,0.0389397546979363,82,129,6,0.0465116279069768,0.0731707317073171,GO:0006749,GO:BP,glutathione metabolic process,15896,2321,GO:0006575|GO:0006790
BGI_DOWN,TRUE,0.0435524743358958,10,129,3,0.0232558139534884,0.3,GO:0015706,GO:BP,nitrate transmembrane transport,15896,4587,GO:0055085|GO:1902025
BGI_DOWN,TRUE,0.0473556941735956,2,129,2,0.0155038759689922,1,GO:0080033,GO:BP,response to nitrite,15896,16598,GO:1901698|GO:1901700
BGI_DOWN,TRUE,1.30897242451959e-07,565,166,24,0.144578313253012,0.0424778761061947,GO:0046906,GO:MF,tetrapyrrole binding,18049,5634,GO:0005488
BGI_DOWN,TRUE,4.04178175309396e-05,540,166,20,0.120481927710843,0.037037037037037,GO:0020037,GO:MF,heme binding,18049,3488,GO:0046906
BGI_DOWN,TRUE,0.00193220304928292,1653,166,34,0.204819277108434,0.0205686630369026,GO:0016491,GO:MF,oxidoreductase activity,18049,2729,GO:0003824
