query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
AZU_GEN,TRUE,0.00985032860135149,110,672,16,0.0238095238095238,0.145454545454545,GO:0016114,GO:BP,terpenoid biosynthetic process,15896,4886,GO:0006721|GO:0008299
AZU_GEN,TRUE,0.0271380908250655,132,672,17,0.025297619047619,0.128787878787879,GO:0006721,GO:BP,terpenoid metabolic process,15896,2303,GO:0006720
AZU_GEN,TRUE,0.00238696986609734,100,786,16,0.0203562340966921,0.16,GO:0008238,GO:MF,exopeptidase activity,18049,1581,GO:0008233
AZU_GEN,TRUE,0.00394912425438599,61,786,12,0.0152671755725191,0.19672131147541,GO:0070008,GO:MF,serine-type exopeptidase activity,18049,7857,GO:0008236|GO:0008238
AZU_GEN,TRUE,0.00780441092375484,55,786,11,0.0139949109414758,0.2,GO:0004185,GO:MF,serine-type carboxypeptidase activity,18049,632,GO:0004180|GO:0070008
AZU_GEN,TRUE,0.019473386620104,71,786,12,0.0152671755725191,0.169014084507042,GO:0004180,GO:MF,carboxypeptidase activity,18049,630,GO:0008238
AZU_GEN,TRUE,0.00291423572376366,30,139,7,0.0503597122302158,0.233333333333333,KEGG:00904,KEGG,Diterpenoid biosynthesis,3869,135,KEGG:00000
AZU_GEN,TRUE,0.00656043322319715,24,139,6,0.0431654676258993,0.25,KEGG:00310,KEGG,Lysine degradation,3869,35,KEGG:00000
BGI_GEN,TRUE,0.00605980869423849,12,775,6,0.00774193548387097,0.5,GO:0006722,GO:BP,triterpenoid metabolic process,15896,2304,GO:0006721
BGI_GEN,TRUE,0.00605980869423849,12,775,6,0.00774193548387097,0.5,GO:0016104,GO:BP,triterpenoid biosynthetic process,15896,4878,GO:0006722|GO:0016114
BGI_GEN,TRUE,0.0138368297203874,132,775,19,0.0245161290322581,0.143939393939394,GO:0006721,GO:BP,terpenoid metabolic process,15896,2303,GO:0006720
BGI_GEN,TRUE,0.0145599945018927,110,775,17,0.0219354838709677,0.154545454545455,GO:0016114,GO:BP,terpenoid biosynthetic process,15896,4886,GO:0006721|GO:0008299
BGI_GEN,TRUE,0.0014116888616614,144,919,22,0.0239390642002176,0.152777777777778,GO:0030247,GO:MF,polysaccharide binding,18049,3581,GO:0030246
BGI_GEN,TRUE,0.00624063205163361,359,919,38,0.0413492927094668,0.105849582172702,GO:0030246,GO:MF,carbohydrate binding,18049,3580,GO:0005488
BGI_GEN,TRUE,0.0355168825418638,3438,919,220,0.239390642002176,0.0639906922629436,GO:0000166,GO:MF,nucleotide binding,18049,31,GO:1901265|GO:1901363
BGI_GEN,TRUE,0.040274900957671,3445,919,220,0.239390642002176,0.0638606676342525,GO:1901265,GO:MF,nucleoside phosphate binding,18049,9833,GO:0005488
BGI_GEN,TRUE,0.0495769402395477,9681,919,547,0.595212187159957,0.0565024274351823,GO:0003824,GO:MF,catalytic activity,18049,356,GO:0003674
BGI_GEN,TRUE,0.0112537766254574,8,177,4,0.0225988700564972,0.5,KEGG:00909,KEGG,Sesquiterpenoid and triterpenoid biosynthesis,3869,140,KEGG:00000
