"Elemento","categorias","n_cats"
"Os01g0117900","hyper - Azucena (CG context) - genes | AZU_DOWN",2
"Os01g0781200","hyper - Azucena (CG context) - genes | AZU_UP",2
"Os01g0944700","hyper - Azucena (CG context) - genes | AZU_DOWN",2
"Os07g0197500","hyper - Azucena (CG context) - genes | hypo - BGI (CHH context) - genes | AZU_UP",3
"Os01g0163450","hypo - Azucena (CG context) - genes | hypo - BGI (CHG context) - Upstream | AZU_UP",3
"Os02g0285700","hypo - Azucena (CG context) - genes | AZU_UP",2
"Os02g0503700","hypo - Azucena (CG context) - genes | hypo - Azucena (CHG context) - genes | hypo - BGI (CHG context) - genes | hypo - BGI (CHH context) - genes | AZU_UP",5
"Os04g0179700","hypo - Azucena (CHG context) - genes | hypo - Azucena (CHH context) - Upstream | AZU_DOWN | BGI_DOWN",4
"Os05g0366000","hypo - Azucena (CHG context) - genes | BGI_DOWN",2
"Os06g0486900","hypo - Azucena (CHG context) - genes | hypo - BGI (CG context) - genes | hyper - BGI (CHG context) - Upstream | AZU_DOWN | BGI_UP",5
"Os07g0471683","hypo - Azucena (CHG context) - genes | hypo - BGI (CHH context) - genes | BGI_DOWN",3
"Os02g0570400","hyper - Azucena (CHG context) - genes | hypo - BGI (CHG context) - genes | hyper - Azucena (CG context) - Upstream | BGI_UP",4
"Os01g0179800","hypo - Azucena (CHH context) - genes | BGI_UP",2
"Os01g0609200","hypo - Azucena (CHH context) - genes | BGI_UP",2
"Os02g0286933","hypo - Azucena (CHH context) - genes | hypo - Azucena (CHH context) - Upstream | AZU_UP",3
"Os03g0109300","hypo - Azucena (CHH context) - genes | AZU_DOWN",2
"Os03g0111200","hypo - Azucena (CHH context) - genes | AZU_UP",2
"Os03g0327700","hypo - Azucena (CHH context) - genes | hyper - BGI (CHH context) - genes | BGI_DOWN",3
"Os03g0580800","hypo - Azucena (CHH context) - genes | hypo - BGI (CHH context) - genes | AZU_UP",3
"Os03g0643800","hypo - Azucena (CHH context) - genes | BGI_UP",2
"Os04g0175600","hypo - Azucena (CHH context) - genes | BGI_UP",2
"Os04g0398000","hypo - Azucena (CHH context) - genes | BGI_DOWN",2
"Os04g0447700","hypo - Azucena (CHH context) - genes | hypo - BGI (CHG context) - Upstream | BGI_DOWN",3
"Os04g0480700","hypo - Azucena (CHH context) - genes | BGI_UP",2
"Os04g0545100","hypo - Azucena (CHH context) - genes | hypo - BGI (CHH context) - genes | hypo - Azucena (CHH context) - Upstream | AZU_UP",4
"Os07g0418500","hypo - Azucena (CHH context) - genes | AZU_DOWN | BGI_UP",3
"Os08g0404700","hypo - Azucena (CHH context) - genes | AZU_UP",2
"Os09g0110300","hypo - Azucena (CHH context) - genes | BGI_UP",2
"Os10g0191100","hypo - Azucena (CHH context) - genes | hypo - BGI (CHH context) - genes | AZU_UP",3
"Os10g0481300","hypo - Azucena (CHH context) - genes | hypo - BGI (CHH context) - genes | BGI_DOWN",3
"Os11g0614500","hypo - Azucena (CHH context) - genes | AZU_DOWN",2
"Os11g0687100","hypo - Azucena (CHH context) - genes | AZU_UP",2
"Os03g0628800","hyper - Azucena (CHH context) - genes | AZU_UP",2
"Os04g0556400","hyper - Azucena (CHH context) - genes | hypo - BGI (CHH context) - genes | AZU_DOWN | BGI_UP",4
"Os07g0558100","hyper - Azucena (CHH context) - genes | hypo - BGI (CHH context) - Upstream | BGI_DOWN",3
"Os12g0133100","hyper - Azucena (CHH context) - genes | hypo - BGI (CHH context) - genes | hypo - BGI (CHH context) - Upstream | BGI_UP",4
"Os01g0327100","hyper - BGI (CG context) - genes | hypo - Azucena (CHH context) - Upstream | AZU_DOWN",3
"Os01g0343100","hyper - BGI (CG context) - genes | hypo - Azucena (CHH context) - Upstream | AZU_UP",3
"Os11g0699532","hyper - BGI (CG context) - genes | AZU_DOWN",2
"Os05g0158600","hypo - BGI (CG context) - genes | BGI_UP",2
"Os12g0486900","hypo - BGI (CG context) - genes | BGI_DOWN",2
"Os03g0603200","hypo - BGI (CHG context) - genes | hypo - BGI (CHH context) - genes | hyper - BGI (CG context) - Upstream | BGI_UP",4
"Os04g0370900","hypo - BGI (CHG context) - genes | hypo - Azucena (CG context) - Upstream | BGI_DOWN",3
"Os10g0535900","hypo - BGI (CHG context) - genes | AZU_UP",2
"Os08g0246300","hyper - BGI (CHG context) - genes | hypo - BGI (CHH context) - genes | hypo - BGI (CHH context) - Upstream | AZU_UP",4
"Os01g0111600","hypo - BGI (CHH context) - genes | BGI_DOWN",2
"Os01g0371500","hypo - BGI (CHH context) - genes | AZU_UP",2
"Os01g0795000","hypo - BGI (CHH context) - genes | AZU_UP",2
"Os02g0106100","hypo - BGI (CHH context) - genes | AZU_UP",2
"Os02g0177700","hypo - BGI (CHH context) - genes | BGI_DOWN",2
"Os02g0226600","hypo - BGI (CHH context) - genes | hypo - BGI (CHH context) - Upstream | AZU_DOWN",3
"Os04g0288500","hypo - BGI (CHH context) - genes | BGI_UP",2
"Os04g0352400","hypo - BGI (CHH context) - genes | AZU_UP",2
"Os05g0524575","hypo - BGI (CHH context) - genes | AZU_UP",2
"Os08g0112900","hypo - BGI (CHH context) - genes | hyper - Azucena (CHH context) - Upstream | BGI_UP",3
"Os08g0401800","hypo - BGI (CHH context) - genes | BGI_UP",2
"Os08g0415600","hypo - BGI (CHH context) - genes | BGI_DOWN",2
"Os09g0564600","hypo - BGI (CHH context) - genes | hypo - BGI (CHG context) - Upstream | BGI_UP",3
"Os11g0134100","hypo - BGI (CHH context) - genes | hyper - Azucena (CHH context) - Upstream | hypo - BGI (CHH context) - Upstream | AZU_UP",4
"Os11g0249000","hypo - BGI (CHH context) - genes | BGI_UP",2
"Os11g0441900","hypo - BGI (CHH context) - genes | AZU_DOWN",2
"Os12g0163700","hypo - BGI (CHH context) - genes | hyper - BGI (CG context) - Upstream | AZU_UP",3
"Os12g0448900","hypo - BGI (CHH context) - genes | BGI_UP",2
"Os02g0157600","hyper - BGI (CHH context) - genes | BGI_UP",2
"Os04g0401700","hyper - BGI (CHH context) - genes | hyper - Azucena (CHH context) - Upstream | BGI_UP",3
"Os06g0207950","hyper - BGI (CHH context) - genes | AZU_DOWN",2
"Os09g0564700","hyper - BGI (CHH context) - genes | AZU_UP",2
"Os01g0594800","hyper - Azucena (CG context) - Upstream | AZU_DOWN",2
"Os02g0620600","hyper - Azucena (CG context) - Upstream | hyper - Azucena (CHG context) - Upstream | hypo - Azucena (CHH context) - Upstream | BGI_DOWN",4
"Os04g0359300","hyper - Azucena (CG context) - Upstream | AZU_UP",2
"Os08g0256700","hyper - Azucena (CG context) - Upstream | AZU_UP",2
"Os09g0381400","hyper - Azucena (CG context) - Upstream | AZU_UP",2
"Os12g0582900","hyper - Azucena (CG context) - Upstream | AZU_UP",2
"Os01g0566500","hypo - Azucena (CG context) - Upstream | hypo - Azucena (CHH context) - Upstream | hypo - BGI (CHH context) - Upstream | AZU_DOWN | BGI_UP",5
"Os03g0130300","hypo - Azucena (CG context) - Upstream | AZU_DOWN",2
"Os03g0693900","hypo - Azucena (CG context) - Upstream | hyper - Azucena (CHH context) - Upstream | AZU_DOWN | BGI_UP",4
"Os04g0688500","hypo - Azucena (CG context) - Upstream | AZU_DOWN | BGI_DOWN",3
"Os05g0219900","hypo - Azucena (CG context) - Upstream | AZU_UP",2
"Os08g0249000","hypo - Azucena (CG context) - Upstream | hypo - Azucena (CHH context) - Upstream | BGI_DOWN",3
"Os09g0358100","hypo - Azucena (CG context) - Upstream | AZU_UP",2
"Os12g0151000","hypo - Azucena (CG context) - Upstream | AZU_UP",2
"Os01g0621200","hypo - Azucena (CHG context) - Upstream | AZU_DOWN",2
"Os01g0699600","hypo - Azucena (CHG context) - Upstream | AZU_DOWN",2
"Os02g0686100","hypo - Azucena (CHG context) - Upstream | hypo - BGI (CHH context) - Upstream | AZU_DOWN",3
"Os03g0594400","hypo - Azucena (CHG context) - Upstream | BGI_DOWN",2
