Chromosome,Feature,Start,End,Strand,ID_gene,seqnames,start,end,width,Status,Gene,coverage_percentage,overlap,file
chr01,gene,933574,935574,-,Os01g0116800,chr01,934501,935500,1000,hyper,Os01g0116800,100,TRUE,Azucena (CG context)
chr01,gene,933618,935618,+,Os01g0116901,chr01,934501,935500,1000,hyper,Os01g0116901,100,TRUE,Azucena (CG context)
chr01,gene,1488494,1490494,-,Os01g0127000,chr01,1489001,1489500,500,hypo,Os01g0127000,100,TRUE,Azucena (CG context)
chr01,gene,1488993,1490993,+,Os01g0127100,chr01,1489001,1489500,500,hypo,Os01g0127100,100,TRUE,Azucena (CG context)
chr01,gene,2290239,2292239,+,Os01g0142600,chr01,2291501,2292000,500,hypo,Os01g0142600,100,TRUE,Azucena (CG context)
chr01,gene,2627374,2629374,+,Os01g0148200,chr01,2628001,2628500,500,hypo,Os01g0148200,100,TRUE,Azucena (CG context)
chr01,gene,2870115,2872115,+,Os01g0153300,chr01,2870501,2871000,500,hyper,Os01g0153300,100,TRUE,Azucena (CG context)
chr01,gene,6615011,6617011,+,Os01g0220801,chr01,6616501,6617000,500,hyper,Os01g0220801,100,TRUE,Azucena (CG context)
chr01,gene,6615173,6617173,-,Os01g0220900,chr01,6616501,6617000,500,hyper,Os01g0220900,100,TRUE,Azucena (CG context)
chr01,gene,7671033,7673033,+,Os01g0238700,chr01,7672001,7672500,500,hyper,Os01g0238700,100,TRUE,Azucena (CG context)
chr01,gene,7860065,7862065,-,Os01g0242600,chr01,7860001,7860500,500,hyper,Os01g0242600,87.2,TRUE,Azucena (CG context)
chr01,gene,9093173,9095173,+,Os01g0266200,chr01,9094001,9094500,500,hyper,Os01g0266200,100,TRUE,Azucena (CG context)
chr01,gene,10820587,10822587,+,Os01g0296100,chr01,10821001,10821500,500,hypo,Os01g0296100,100,TRUE,Azucena (CG context)
chr01,gene,10975198,10977198,+,Os01g0299400,chr01,10976501,10977000,500,hypo,Os01g0299400,100,TRUE,Azucena (CG context)
