Chromosome,Feature,Start,End,Strand,ID_gene,seqnames,start,end,width,Status,Gene,coverage_percentage,overlap,file
chr01,repeat_unit,1876838,1878294,+,LTR_Os_chr_02_245#LTR,chr01,1877501,1878000,500,hyper,LTR_Os_chr_02_245#LTR,100,TRUE,Azucena (CG context)
chr01,repeat_unit,2025062,2025662,-,LTR_Os_chr_01_191#LTR,chr01,2025001,2025500,500,hypo,LTR_Os_chr_01_191#LTR,87.8,TRUE,Azucena (CG context)
chr01,repeat_unit,2067536,2067868,-,ORSgTEMT00100142,chr01,2067501,2068000,500,hyper,ORSgTEMT00100142,66.6,TRUE,Azucena (CG context)
chr01,repeat_unit,2493035,2493373,-,ORSgTEMT00101487,chr01,2493001,2493500,500,hypo,ORSgTEMT00101487,67.8,TRUE,Azucena (CG context)
chr01,repeat_unit,4655544,4655910,+,ORSgTEMT00600141,chr01,4655501,4656000,500,hyper,ORSgTEMT00600141,73.4,TRUE,Azucena (CG context)
chr01,repeat_unit,6616404,6616842,+,LTR_Os_chr_05_1051#LTR,chr01,6616501,6617000,500,hyper,LTR_Os_chr_05_1051#LTR,68.4,TRUE,Azucena (CG context)
chr01,repeat_unit,7860182,7860652,+,LTR_Os_chr_01_191#LTR,chr01,7860001,7860500,500,hyper,LTR_Os_chr_01_191#LTR,63.8,TRUE,Azucena (CG context)
chr01,repeat_unit,10951373,10957823,+,LTR_Os_chr_01_55#LTR/Copia,chr01,10957501,10958000,500,hypo,LTR_Os_chr_01_55#LTR/Copia,64.6,TRUE,Azucena (CG context)
chr01,repeat_unit,11050157,11050499,-,ORSgTEMT00600505,chr01,11050001,11050500,500,hypo,ORSgTEMT00600505,68.6,TRUE,Azucena (CG context)
chr01,repeat_unit,11873854,11874816,+,ENSPM_OS#DNA/En-Spm,chr01,11874001,11874500,500,hyper,ENSPM_OS#DNA/En-Spm,100,TRUE,Azucena (CG context)
chr01,repeat_unit,15208639,15209131,-,LTR_Os_chr_01_191#LTR,chr01,15208501,15209000,500,hyper,LTR_Os_chr_01_191#LTR,72.4,TRUE,Azucena (CG context)
chr01,repeat_unit,21403465,21405268,+,SEVERIN-2#DNA,chr01,21404001,21404500,500,hypo,SEVERIN-2#DNA,100,TRUE,Azucena (CG context)
