,Gene_ID,Total_Lists_Present_In,Categories,ANNOTATION_GENE,ANNOTATION_RXN,Repeat,MSU,MSU_1,TF,Enzymes,RXN,PATHWAY
1,LTR_Os_chr_01_191#LTR,12,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
2,MERMITE18B#DNA,12,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
3,LTR_Os_chr_05_1051#LTR,11,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
4,LTR_Os_chr_06_1075#LTR,11,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
5,LTR_Os_chr_06_1176#LTR,11,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
6,OLO24#DNA/Mite,11,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
7,LTR_Os_chr_01_187#LTR,10,hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
8,LTR_Os_chr_03_545#LTR,10,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
9,LTR_Os_chr_07_1354_2frag#LTR,10,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
10,LTR_Os_chr_08_1457#LTR,10,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
