"","Contexto","Elemento"
"1","hyper - Azucena (CG context) - genes","Os01g0100800"
"2","hyper - Azucena (CG context) - genes","Os01g0116900"
"3","hyper - Azucena (CG context) - genes","Os01g0117900"
"4","hyper - Azucena (CG context) - genes","Os01g0134200"
"5","hyper - Azucena (CG context) - genes","Os01g0227200"
"6","hyper - Azucena (CG context) - genes","Os01g0227250"
"7","hyper - Azucena (CG context) - genes","Os01g0238600"
"8","hyper - Azucena (CG context) - genes","Os01g0256400"
"9","hyper - Azucena (CG context) - genes","Os01g0293800"
"10","hyper - Azucena (CG context) - genes","Os01g0327000"
"11","hyper - Azucena (CG context) - genes","Os01g0544700"
"12","hyper - Azucena (CG context) - genes","Os01g0594650"
"13","hyper - Azucena (CG context) - genes","Os01g0598200"
"14","hyper - Azucena (CG context) - genes","Os01g0606000"
"15","hyper - Azucena (CG context) - genes","Os01g0614700"
"16","hyper - Azucena (CG context) - genes","Os01g0614750"
"17","hyper - Azucena (CG context) - genes","Os01g0622500"
"18","hyper - Azucena (CG context) - genes","Os01g0660400"
"19","hyper - Azucena (CG context) - genes","Os01g0665300"
"20","hyper - Azucena (CG context) - genes","Os01g0685800"
"21","hyper - Azucena (CG context) - genes","Os01g0738100"
"22","hyper - Azucena (CG context) - genes","Os01g0742766"
"23","hyper - Azucena (CG context) - genes","Os01g0752700"
"24","hyper - Azucena (CG context) - genes","Os01g0755100"
"25","hyper - Azucena (CG context) - genes","Os01g0781200"
"26","hyper - Azucena (CG context) - genes","Os01g0800500"
"27","hyper - Azucena (CG context) - genes","Os01g0812200"
"28","hyper - Azucena (CG context) - genes","Os01g0817000"
"29","hyper - Azucena (CG context) - genes","Os01g0837500"
"30","hyper - Azucena (CG context) - genes","Os01g0842600"
"31","hyper - Azucena (CG context) - genes","Os01g0895500"
"32","hyper - Azucena (CG context) - genes","Os01g0905400"
"33","hyper - Azucena (CG context) - genes","Os01g0911800"
"34","hyper - Azucena (CG context) - genes","Os01g0944700"
"35","hyper - Azucena (CG context) - genes","Os01g0952600"
"36","hyper - Azucena (CG context) - genes","Os01g0970600"
"37","hyper - Azucena (CG context) - genes","Os02g0234400"
"38","hyper - Azucena (CG context) - genes","Os02g0304800"
"39","hyper - Azucena (CG context) - genes","Os02g0478050"
"40","hyper - Azucena (CG context) - genes","Os02g0480900"
"41","hyper - Azucena (CG context) - genes","Os02g0498300"
"42","hyper - Azucena (CG context) - genes","Os02g0518400"
"43","hyper - Azucena (CG context) - genes","Os02g0518500"
"44","hyper - Azucena (CG context) - genes","Os02g0537700"
"45","hyper - Azucena (CG context) - genes","Os02g0570700"
"46","hyper - Azucena (CG context) - genes","Os02g0570800"
"47","hyper - Azucena (CG context) - genes","Os02g0631200"
"48","hyper - Azucena (CG context) - genes","Os02g0676000"
"49","hyper - Azucena (CG context) - genes","Os02g0699300"
"50","hyper - Azucena (CG context) - genes","Os02g0699350"
"51","hyper - Azucena (CG context) - genes","Os02g0783700"
"52","hyper - Azucena (CG context) - genes","Os02g0783650"
"53","hyper - Azucena (CG context) - genes","Os02g0786000"
"54","hyper - Azucena (CG context) - genes","Os02g0795900"
"55","hyper - Azucena (CG context) - genes","Os02g0818500"
"56","hyper - Azucena (CG context) - genes","Os03g0108600"
"57","hyper - Azucena (CG context) - genes","Os03g0123200"
"58","hyper - Azucena (CG context) - genes","Os03g0156500"
"59","hyper - Azucena (CG context) - genes","Os03g0162725"
"60","hyper - Azucena (CG context) - genes","Os03g0254800"
"61","hyper - Azucena (CG context) - genes","Os03g0264800"
"62","hyper - Azucena (CG context) - genes","Os03g0285700"
"63","hyper - Azucena (CG context) - genes","Os03g0348200"
"64","hyper - Azucena (CG context) - genes","Os03g0430500"
"65","hyper - Azucena (CG context) - genes","Os03g0431800"
"66","hyper - Azucena (CG context) - genes","Os03g0567600"
"67","hyper - Azucena (CG context) - genes","Os03g0568000"
"68","hyper - Azucena (CG context) - genes","Os03g0568400"
"69","hyper - Azucena (CG context) - genes","Os03g0604432"
"70","hyper - Azucena (CG context) - genes","Os03g0604200"
"71","hyper - Azucena (CG context) - genes","Os03g0619400"
"72","hyper - Azucena (CG context) - genes","Os03g0654700"
"73","hyper - Azucena (CG context) - genes","Os03g0708400"
"74","hyper - Azucena (CG context) - genes","Os03g0784800"
"75","hyper - Azucena (CG context) - genes","Os03g0793500"
"76","hyper - Azucena (CG context) - genes","Os03g0796000"
"77","hyper - Azucena (CG context) - genes","Os03g0799600"
"78","hyper - Azucena (CG context) - genes","Os03g0800800"
"79","hyper - Azucena (CG context) - genes","Os03g0818100"
"80","hyper - Azucena (CG context) - genes","Os03g0818700"
"81","hyper - Azucena (CG context) - genes","Os03g0842400"
"82","hyper - Azucena (CG context) - genes","Os03g0859300"
"83","hyper - Azucena (CG context) - genes","Os04g0101300"
"84","hyper - Azucena (CG context) - genes","Os04g0119800"
"85","hyper - Azucena (CG context) - genes","Os04g0303100"
"86","hyper - Azucena (CG context) - genes","Os04g0348400"
"87","hyper - Azucena (CG context) - genes","Os04g0409500"
"88","hyper - Azucena (CG context) - genes","Os04g0468000"
"89","hyper - Azucena (CG context) - genes","Os04g0476400"
"90","hyper - Azucena (CG context) - genes","Os04g0509300"
"91","hyper - Azucena (CG context) - genes","Os04g0528100"
"92","hyper - Azucena (CG context) - genes","Os04g0587451"
"93","hyper - Azucena (CG context) - genes","Os04g0587500"
"94","hyper - Azucena (CG context) - genes","Os04g0614500"
"95","hyper - Azucena (CG context) - genes","Os04g0627132"
"96","hyper - Azucena (CG context) - genes","Os04g0648500"
"97","hyper - Azucena (CG context) - genes","Os04g0677700"
"98","hyper - Azucena (CG context) - genes","Os05g0110500"
"99","hyper - Azucena (CG context) - genes","Os05g0129200"
"100","hyper - Azucena (CG context) - genes","Os05g0129250"
"101","hyper - Azucena (CG context) - genes","Os05g0169900"
"102","hyper - Azucena (CG context) - genes","Os05g0169800"
"103","hyper - Azucena (CG context) - genes","Os05g0194500"
"104","hyper - Azucena (CG context) - genes","Os05g0255600"
"105","hyper - Azucena (CG context) - genes","Os05g0256100"
"106","hyper - Azucena (CG context) - genes","Os05g0371200"
"107","hyper - Azucena (CG context) - genes","Os05g0388400"
"108","hyper - Azucena (CG context) - genes","Os05g0393200"
"109","hyper - Azucena (CG context) - genes","Os05g0405000"
"110","hyper - Azucena (CG context) - genes","Os05g0440800"
"111","hyper - Azucena (CG context) - genes","Os05g0458400"
"112","hyper - Azucena (CG context) - genes","Os05g0469450"
"113","hyper - Azucena (CG context) - genes","Os05g0481100"
"114","hyper - Azucena (CG context) - genes","Os05g0495600"
"115","hyper - Azucena (CG context) - genes","Os05g0517200"
"116","hyper - Azucena (CG context) - genes","Os05g0518000"
"117","hyper - Azucena (CG context) - genes","Os05g0530300"
"118","hyper - Azucena (CG context) - genes","Os05g0530350"
"119","hyper - Azucena (CG context) - genes","Os06g0116800"
"120","hyper - Azucena (CG context) - genes","Os06g0127000"
"121","hyper - Azucena (CG context) - genes","Os06g0146250"
"122","hyper - Azucena (CG context) - genes","Os06g0154400"
"123","hyper - Azucena (CG context) - genes","Os06g0163000"
"124","hyper - Azucena (CG context) - genes","Os06g0199100"
"125","hyper - Azucena (CG context) - genes","Os06g0204400"
"126","hyper - Azucena (CG context) - genes","Os06g0209700"
"127","hyper - Azucena (CG context) - genes","Os06g0498400"
"128","hyper - Azucena (CG context) - genes","Os06g0544100"
"129","hyper - Azucena (CG context) - genes","Os06g0564300"
"130","hyper - Azucena (CG context) - genes","Os06g0618100"
"131","hyper - Azucena (CG context) - genes","Os06g0652250"
"132","hyper - Azucena (CG context) - genes","Os06g0662000"
"133","hyper - Azucena (CG context) - genes","Os06g0689600"
"134","hyper - Azucena (CG context) - genes","Os07g0108000"
"135","hyper - Azucena (CG context) - genes","Os07g0197500"
"136","hyper - Azucena (CG context) - genes","Os07g0253100"
"137","hyper - Azucena (CG context) - genes","Os07g0256300"
"138","hyper - Azucena (CG context) - genes","Os07g0404300"
"139","hyper - Azucena (CG context) - genes","Os07g0412100"
"140","hyper - Azucena (CG context) - genes","Os07g0452801"
"141","hyper - Azucena (CG context) - genes","Os07g0474600"
"142","hyper - Azucena (CG context) - genes","Os07g0541200"
"143","hyper - Azucena (CG context) - genes","Os07g0541900"
"144","hyper - Azucena (CG context) - genes","Os07g0542067"
"145","hyper - Azucena (CG context) - genes","Os07g0572000"
"146","hyper - Azucena (CG context) - genes","Os07g0596300"
"147","hyper - Azucena (CG context) - genes","Os07g0660400"
"148","hyper - Azucena (CG context) - genes","Os07g0660433"
"149","hyper - Azucena (CG context) - genes","Os07g0679000"
"150","hyper - Azucena (CG context) - genes","Os07g0694400"
"151","hyper - Azucena (CG context) - genes","Os08g0107650"
"152","hyper - Azucena (CG context) - genes","Os08g0113200"
"153","hyper - Azucena (CG context) - genes","Os08g0152600"
"154","hyper - Azucena (CG context) - genes","Os08g0203600"
"155","hyper - Azucena (CG context) - genes","Os08g0224500"
"156","hyper - Azucena (CG context) - genes","Os08g0247700"
"157","hyper - Azucena (CG context) - genes","Os08g0278966"
"158","hyper - Azucena (CG context) - genes","Os08g0309300"
"159","hyper - Azucena (CG context) - genes","Os08g0387400"
"160","hyper - Azucena (CG context) - genes","Os08g0464400"
"161","hyper - Azucena (CG context) - genes","Os08g0533600"
"162","hyper - Azucena (CG context) - genes","Os08g0545500"
"163","hyper - Azucena (CG context) - genes","Os08g0562700"
"164","hyper - Azucena (CG context) - genes","Os09g0313500"
"165","hyper - Azucena (CG context) - genes","Os09g0333600"
"166","hyper - Azucena (CG context) - genes","Os09g0375900"
"167","hyper - Azucena (CG context) - genes","Os09g0381300"
"168","hyper - Azucena (CG context) - genes","Os09g0401900"
"169","hyper - Azucena (CG context) - genes","Os09g0512200"
"170","hyper - Azucena (CG context) - genes","Os09g0520300"
"171","hyper - Azucena (CG context) - genes","Os09g0528300"
"172","hyper - Azucena (CG context) - genes","Os10g0126600"
"173","hyper - Azucena (CG context) - genes","Os10g0152801"
"174","hyper - Azucena (CG context) - genes","Os10g0163130"
"175","hyper - Azucena (CG context) - genes","Os10g0195000"
"176","hyper - Azucena (CG context) - genes","Os10g0211900"
"177","hyper - Azucena (CG context) - genes","Os10g0394400"
"178","hyper - Azucena (CG context) - genes","Os10g0401100"
"179","hyper - Azucena (CG context) - genes","Os10g0415800"
"180","hyper - Azucena (CG context) - genes","Os10g0477200"
"181","hyper - Azucena (CG context) - genes","Os10g0504500"
"182","hyper - Azucena (CG context) - genes","Os10g0506800"
"183","hyper - Azucena (CG context) - genes","Os10g0541000"
"184","hyper - Azucena (CG context) - genes","Os10g0579800"
"185","hyper - Azucena (CG context) - genes","Os11g0173550"
"186","hyper - Azucena (CG context) - genes","Os11g0189600"
"187","hyper - Azucena (CG context) - genes","Os11g0204100"
"188","hyper - Azucena (CG context) - genes","Os11g0205500"
"189","hyper - Azucena (CG context) - genes","Os11g0223201"
"190","hyper - Azucena (CG context) - genes","Os11g0227100"
"191","hyper - Azucena (CG context) - genes","Os11g0227200"
"192","hyper - Azucena (CG context) - genes","Os11g0227700"
"193","hyper - Azucena (CG context) - genes","Os11g0257800"
"194","hyper - Azucena (CG context) - genes","Os11g0481150"
"195","hyper - Azucena (CG context) - genes","Os11g0515700"
"196","hyper - Azucena (CG context) - genes","Os11g0517200"
"197","hyper - Azucena (CG context) - genes","Os11g0524601"
"198","hyper - Azucena (CG context) - genes","Os11g0586100"
