"","Gene_ID","Total_Lists_Present_In","Categories"
"1","LTR_Os_chr_01_191#LTR",12,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"2","MERMITE18B#DNA",12,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"3","LTR_Os_chr_05_1051#LTR",11,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"4","LTR_Os_chr_06_1075#LTR",11,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"5","LTR_Os_chr_06_1176#LTR",11,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"6","OLO24#DNA/Mite",11,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"7","LTR_Os_chr_01_187#LTR",10,"hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"8","LTR_Os_chr_03_545#LTR",10,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"9","LTR_Os_chr_07_1354_2frag#LTR",10,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"10","LTR_Os_chr_08_1457#LTR",10,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"11","LTR_Os_chr_10_1937#LTR",10,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"12","MERMITE#DNA",10,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"13","MERMITEH#DNA",10,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"14","ORSiTETNOOT00116#DNA",10,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"15","OSTE17#DNA",10,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"16","SINE03_OS#SINE",10,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"17","SZ-36_LTR#LTR",10,"hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"18","TYPEU1#DNA",10,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"19","rn_216-127_retroryza#LTR",10,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"20","LTR_Os_chr_01_114#LTR",9,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"21","LTR_Os_chr_01_23#LTR/Copia",9,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"22","LTR_Os_chr_01_31#LTR",9,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats"
"23","LTR_Os_chr_02_286#LTR",9,"hypo - Azucena (CG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"24","LTR_Os_chr_04_718#LTR",9,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"25","LTR_Os_chr_06_1130#LTR",9,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats"
"26","LTR_Os_chr_06_1138#LTR",9,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"27","LTR_Os_chr_06_1151#LTR",9,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"28","LTR_Os_chr_07_1360#LTR",9,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats"
"29","ORSiTEMT05300003#DNA/Mite",9,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"30","OSTE30#DNA/hAT",9,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"31","SPMLIKE#DNA/En-Spm",9,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"32","TNR11#DNA/Mite",9,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"33","rn_313-186_retroryza#LTR",9,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"34","LTR_Os_chr_03_497#LTR",8,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"35","LTR_Os_chr_04_632#LTR",8,"hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"36","LTR_Os_chr_05_970#LTR",8,"hypo - Azucena (CG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats"
"37","LTR_Os_chr_06_1078#LTR",8,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"38","LTR_Os_chr_07_1270#LTR",8,"hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"39","LTR_Os_chr_09_1785#LTR",8,"hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"40","LTR_Os_chr_11_2033#LTR/Gypsy",8,"hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
"41","LTR_Os_chr_11_2143#LTR",8,"hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats"
