Chromosome,Feature,Start,End,Strand,ID_gene,Start-2000,End+2000,seqnames,start,end,width,Status,Gene,coverage_percentage,overlap,file
chr01,gene,29818,34453,+,Os01g0100800,27818,36453,chr01,32501,33000,500,hyper,Os01g0100800,100,TRUE,Azucena (CG context)
chr01,gene,924451,956639,+,Os01g0116900,922451,958639,chr01,934501,935500,1000,hyper,Os01g0116900,100,TRUE,Azucena (CG context)
chr01,gene,1010259,1012400,+,Os01g0117900,1008259,1014400,chr01,1010501,1011000,500,hyper,Os01g0117900,100,TRUE,Azucena (CG context)
chr01,gene,1876913,1879901,+,Os01g0134200,1874913,1881901,chr01,1877501,1878000,500,hyper,Os01g0134200,100,TRUE,Azucena (CG context)
chr01,gene,2023879,2026177,+,Os01g0137700,2021879,2028177,chr01,2025001,2025500,500,hypo,Os01g0137700,100,TRUE,Azucena (CG context)
chr01,gene,3291241,3293494,+,Os01g0163450,3289241,3295494,chr01,3291501,3292000,500,hypo,Os01g0163450,100,TRUE,Azucena (CG context)
chr01,gene,4509219,4512681,+,Os01g0185100,4507219,4514681,chr01,4510001,4510500,500,hypo,Os01g0185100,100,TRUE,Azucena (CG context)
chr01,gene,4667309,4669037,+,Os01g0187300,4665309,4671037,chr01,4667501,4668000,500,hypo,Os01g0187300,100,TRUE,Azucena (CG context)
chr01,gene,4714730,4718746,-,Os01g0187900,4712730,4720746,chr01,4716501,4717000,500,hypo,Os01g0187900,100,TRUE,Azucena (CG context)
chr01,gene,7038103,7042925,+,Os01g0227200,7036103,7044925,chr01,7041001,7041500,500,hyper,Os01g0227200,100,TRUE,Azucena (CG context)
chr01,gene,7039880,7042890,-,Os01g0227250,7037880,7044890,chr01,7041001,7041500,500,hyper,Os01g0227250,100,TRUE,Azucena (CG context)
chr01,gene,7670071,7672734,+,Os01g0238600,7668071,7674734,chr01,7672001,7672500,500,hyper,Os01g0238600,100,TRUE,Azucena (CG context)
chr01,gene,8540755,8544460,+,Os01g0256400,8538755,8546460,chr01,8543501,8544000,500,hyper,Os01g0256400,100,TRUE,Azucena (CG context)
chr01,gene,10696304,10701348,+,Os01g0293800,10694304,10703348,chr01,10698501,10699500,1000,hyper,Os01g0293800,100,TRUE,Azucena (CG context)
chr01,gene,10819457,10822413,-,Os01g0296000,10817457,10824413,chr01,10821001,10821500,500,hypo,Os01g0296000,100,TRUE,Azucena (CG context)
chr01,gene,12551333,12557268,+,Os01g0327000,12549333,12559268,chr01,12555001,12555500,500,hyper,Os01g0327000,100,TRUE,Azucena (CG context)
